id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
196,BE_electrolyzer,BE_H_Demand,2050,1,1.0,1.0,19,20,11.11872146
197,BE_electrolyzer,BE_H_Demand,2050,1,1.0,1.0,21,22,11.11872146
198,BE_electrolyzer,BE_H_Demand,2050,1,1.0,1.0,23,24,11.11872146
199,BG_Battery,BG_E_Demand,2050,1,1.0,1.0,1,4,0.0
200,BG_Battery,BG_E_Demand,2050,1,1.0,1.0,5,8,0.0
201,BG_Battery,BG_E_Demand,2050,1,1.0,1.0,9,12,0.0
202,BG_Battery,BG_E_Demand,2050,1,1.0,1.0,13,16,0.0
203,BG_Battery,BG_E_Demand,2050,1,1.0,1.0,17,20,0.0
204,BG_Battery,BG_E_Demand,2050,1,1.0,1.0,21,24,-0.0
205,BG_Coal,BG_E_Demand,2050,1,1.0,1.0,1,4,0.0
206,BG_Coal,BG_E_Demand,2050,1,1.0,1.0,5,8,0.0
207,BG_Coal,BG_E_Demand,2050,1,1.0,1.0,9,12,0.0
208,BG_Coal,BG_E_Demand,2050,1,1.0,1.0,13,16,0.0
209,BG_Coal,BG_E_Demand,2050,1,1.0,1.0,17,20,0.0
210,BG_Coal,BG_E_Demand,2050,1,1.0,1.0,21,24,0.0
211,BG_E_Demand,GR_E_Demand,2050,1,1.0,1.0,1,4,-2.4
212,BG_E_Demand,GR_E_Demand,2050,1,1.0,1.0,5,8,-2.4
213,BG_E_Demand,GR_E_Demand,2050,1,1.0,1.0,9,12,-2.4
214,BG_E_Demand,GR_E_Demand,2050,1,1.0,1.0,13,16,-2.4
215,BG_E_Demand,GR_E_Demand,2050,1,1.0,1.0,17,20,-2.4
216,BG_E_Demand,GR_E_Demand,2050,1,1.0,1.0,21,24,-2.4
217,BG_E_ENS,BG_E_Demand,2050,1,1.0,1.0,1,4,0.0
218,BG_E_ENS,BG_E_Demand,2050,1,1.0,1.0,5,8,0.0
219,BG_E_ENS,BG_E_Demand,2050,1,1.0,1.0,9,12,0.0
220,BG_E_ENS,BG_E_Demand,2050,1,1.0,1.0,13,16,0.0
221,BG_E_ENS,BG_E_Demand,2050,1,1.0,1.0,17,20,0.0
222,BG_E_ENS,BG_E_Demand,2050,1,1.0,1.0,21,24,0.0
223,BG_Gas,BG_E_Demand,2050,1,1.0,1.0,1,4,0.0
224,BG_Gas,BG_E_Demand,2050,1,1.0,1.0,5,8,0.0
225,BG_Gas,BG_E_Demand,2050,1,1.0,1.0,9,12,0.0
226,BG_Gas,BG_E_Demand,2050,1,1.0,1.0,13,16,0.0
227,BG_Gas,BG_E_Demand,2050,1,1.0,1.0,17,20,0.0
228,BG_Gas,BG_E_Demand,2050,1,1.0,1.0,21,24,0.0
229,BG_Hydro,BG_E_Demand,2050,1,1.0,1.0,1,4,0.4325983355144246
230,BG_Hydro,BG_E_Demand,2050,1,1.0,1.0,5,8,0.4325983355144246
231,BG_Hydro,BG_E_Demand,2050,1,1.0,1.0,9,12,0.4325983355144246
232,BG_Hydro,BG_E_Demand,2050,1,1.0,1.0,13,16,0.4325983355144246
233,BG_Hydro,BG_E_Demand,2050,1,1.0,1.0,17,20,0.4325983355144246
234,BG_Hydro,BG_E_Demand,2050,1,1.0,1.0,21,24,0.4325983355144246
235,BG_Hydro_Reservoir,BG_E_Demand,2050,1,1.0,1.0,1,4,1.0801182773246154
