id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
264,BG_H_Demand,2050,2,24,24,6601.654178815005
265,BG_H_Demand,2050,3,1,1,-14042.407499528646
266,BG_H_Demand,2050,3,2,2,6751.157451696465
267,BG_H_Demand,2050,3,3,3,6751.157451696465
268,BG_H_Demand,2050,3,4,4,6751.157451696465
269,BG_H_Demand,2050,3,5,5,-14042.407499528648
270,BG_H_Demand,2050,3,6,6,6751.157451696465
271,BG_H_Demand,2050,3,7,7,6751.157451696465
272,BG_H_Demand,2050,3,8,8,6751.157451696465
273,BG_H_Demand,2050,3,9,9,-20253.472355089394
274,BG_H_Demand,2050,3,10,10,6751.157451696465
275,BG_H_Demand,2050,3,11,11,6751.157451696465
276,BG_H_Demand,2050,3,12,12,6751.157451696465
277,BG_H_Demand,2050,3,13,13,-20253.472355089394
278,BG_H_Demand,2050,3,14,14,6751.157451696465
279,BG_H_Demand,2050,3,15,15,6751.157451696465
280,BG_H_Demand,2050,3,16,16,6751.157451696465
281,BG_H_Demand,2050,3,17,17,-14042.407499528643
282,BG_H_Demand,2050,3,18,18,6751.157451696465
283,BG_H_Demand,2050,3,19,19,6751.157451696465
284,BG_H_Demand,2050,3,20,20,6751.157451696465
285,BG_H_Demand,2050,3,21,21,-14042.407499528646
286,BG_H_Demand,2050,3,22,22,6751.157451696465
287,BG_H_Demand,2050,3,23,23,6751.157451696465
288,BG_H_Demand,2050,3,24,24,6751.157451696465
289,CH_E_Demand,2050,1,1,4,-0.0
290,CH_E_Demand,2050,1,5,8,-0.0
291,CH_E_Demand,2050,1,9,12,-0.0
292,CH_E_Demand,2050,1,13,16,-0.0
293,CH_E_Demand,2050,1,17,20,-0.0
294,CH_E_Demand,2050,1,21,24,-0.0
295,CH_E_Demand,2050,2,1,4,-0.0
296,CH_E_Demand,2050,2,5,8,-0.0
297,CH_E_Demand,2050,2,9,12,-0.0
298,CH_E_Demand,2050,2,13,16,-0.0
299,CH_E_Demand,2050,2,17,20,-0.0
300,CH_E_Demand,2050,2,21,24,-0.0
301,CH_E_Demand,2050,3,1,4,-0.0
302,CH_E_Demand,2050,3,5,8,-0.0
303,CH_E_Demand,2050,3,9,12,-0.0
304,CH_E_Demand,2050,3,13,16,-0.0
305,CH_E_Demand,2050,3,17,20,-0.0
306,CH_E_Demand,2050,3,21,24,-0.0
307,CH_H_Demand,2050,1,1,1,-14691.565108465593
308,CH_H_Demand,2050,1,2,2,4897.188369488531
309,CH_H_Demand,2050,1,3,3,4897.188369488531
310,CH_H_Demand,2050,1,4,4,4897.188369488531
311,CH_H_Demand,2050,1,5,5,-14691.565108465593
312,CH_H_Demand,2050,1,6,6,4897.188369488531
313,CH_H_Demand,2050,1,7,7,4897.188369488531
314,CH_H_Demand,2050,1,8,8,4897.188369488531
315,CH_H_Demand,2050,1,9,9,-14691.565108465593
316,CH_H_Demand,2050,1,10,10,4897.188369488531
317,CH_H_Demand,2050,1,11,11,4897.188369488531
318,CH_H_Demand,2050,1,12,12,4897.188369488531
319,CH_H_Demand,2050,1,13,13,-14691.565108465593
320,CH_H_Demand,2050,1,14,14,4897.188369488531
321,CH_H_Demand,2050,1,15,15,4897.188369488531
322,CH_H_Demand,2050,1,16,16,4897.188369488531
323,CH_H_Demand,2050,1,17,17,-14691.565108465593
324,CH_H_Demand,2050,1,18,18,4897.188369488531
