id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
270,BE_E_ENS,2050,2,11,12,0.0
271,BE_E_ENS,2050,2,13,14,0.0
272,BE_E_ENS,2050,2,15,16,0.0
273,BE_E_ENS,2050,2,17,18,0.0
274,BE_E_ENS,2050,2,19,20,0.0
275,BE_E_ENS,2050,2,21,22,0.0
276,BE_E_ENS,2050,2,23,24,0.0
277,BE_E_ENS,2050,3,1,2,0.0
278,BE_E_ENS,2050,3,3,4,0.0
279,BE_E_ENS,2050,3,5,6,0.0
280,BE_E_ENS,2050,3,7,8,0.0
281,BE_E_ENS,2050,3,9,10,0.0
282,BE_E_ENS,2050,3,11,12,0.0
283,BE_E_ENS,2050,3,13,14,0.0
284,BE_E_ENS,2050,3,15,16,0.0
285,BE_E_ENS,2050,3,17,18,0.0
286,BE_E_ENS,2050,3,19,20,0.0
287,BE_E_ENS,2050,3,21,22,0.0
288,BE_E_ENS,2050,3,23,24,0.0
289,BE_Gas,2050,1,1,2,0.0
290,BE_Gas,2050,1,3,4,0.0
291,BE_Gas,2050,1,5,6,0.0
292,BE_Gas,2050,1,7,8,0.0
293,BE_Gas,2050,1,9,10,0.0
294,BE_Gas,2050,1,11,12,0.0
295,BE_Gas,2050,1,13,14,0.0
296,BE_Gas,2050,1,15,16,0.0
297,BE_Gas,2050,1,17,18,0.0
298,BE_Gas,2050,1,19,20,0.0
299,BE_Gas,2050,1,21,22,0.0
300,BE_Gas,2050,1,23,24,0.0
301,BE_Gas,2050,2,1,2,0.0
302,BE_Gas,2050,2,3,4,0.0
303,BE_Gas,2050,2,5,6,0.0
304,BE_Gas,2050,2,7,8,0.0
305,BE_Gas,2050,2,9,10,0.0
306,BE_Gas,2050,2,11,12,0.0
307,BE_Gas,2050,2,13,14,0.0
308,BE_Gas,2050,2,15,16,0.0
309,BE_Gas,2050,2,17,18,0.0
310,BE_Gas,2050,2,19,20,0.0
311,BE_Gas,2050,2,21,22,0.0
312,BE_Gas,2050,2,23,24,0.0
313,BE_Gas,2050,3,1,2,0.0
314,BE_Gas,2050,3,3,4,0.0
315,BE_Gas,2050,3,5,6,0.0
316,BE_Gas,2050,3,7,8,0.0
317,BE_Gas,2050,3,9,10,0.0
318,BE_Gas,2050,3,11,12,0.0
319,BE_Gas,2050,3,13,14,0.0
320,BE_Gas,2050,3,15,16,0.0
